"id","__typename","cities","createdAt","culture","emailDomains","groupsCanFind","industry","name","ownerId","perks","placeIds","size","updatedAt","website"
"05e8ea0a-52f2-4118-8f79-4de86707c0fa","Company","[]","2020-10-20T00:12:52.941Z","","[{""S"":""https://fleming.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Fleming","","","[]","","2020-10-20T00:12:52.941Z","https://fleming.com"
"ffb834fb-3ce9-4182-809f-3bd764d7b6b1","Company","[]","2020-10-20T00:14:54.571Z","","[{""S"":""https://statestreet.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","State Street Corp.","","","[]","","2020-10-20T00:14:54.571Z","https://statestreet.com"
"f6a85683-4a3a-429d-a6db-49b2e150384d","Company","[]","2020-10-19T23:48:03.859Z","","[{""S"":""https://amica.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Amica Mutual Insurance","","","[]","","2020-10-19T23:48:03.859Z","https://amica.com"
"7fc5e3b2-e4b7-44e0-a90c-0702daa42031","Company","[]","2020-10-20T00:14:27.624Z","","[{""S"":""https://protective.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Protective Life","","","[]","","2020-10-20T00:14:27.624Z","https://protective.com"
"1490f58b-b5f1-488e-8cc9-a3a7ae43ce1a","Company","[]","2020-10-20T00:12:48.897Z","","[{""S"":""https://federated-fds.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Federated Department Stores","","","[]","","2020-10-20T00:12:48.897Z","https://federated-fds.com"
"27b997ff-1066-47eb-8c28-0ed7a6dc221c","Company","[]","2020-10-20T00:12:00.068Z","","[{""S"":""https://campbellsoup.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Campbell Soup","","","[]","","2020-10-20T00:12:00.068Z","https://campbellsoup.com"
"f6169085-4b31-4263-bf49-7ec5b5fc9179","Company","[]","2020-08-29T21:48:42.459Z","","","","","Google","Google_102227419572773112939","","[]","ENTERPRISE","2020-08-29T21:48:42.459Z","https://google.com"
"ecd10a6d-3e66-41f5-872f-bf556f9c1768","Company","[]","2020-09-08T18:21:50.150Z","","","","","boeing","SignInWithApple_000755.cc400ea07bf744db936cfb6982c1c8fe.1514","","[]","SMALL","2020-09-08T18:21:50.150Z","https://www.boeing.com"
"cb86e4ee-1b78-4748-87b0-e69b7eb11f5c","Company","[]","2020-10-20T00:13:07.088Z","","[{""S"":""https://glic.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Guardian Life Ins. Co. of America","","","[]","","2020-10-20T00:13:07.088Z","https://glic.com"
"140cff00-3b14-45eb-b432-26e2fed96e32","Company","[]","2020-10-20T00:15:20.765Z","","[{""S"":""https://viacom.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Viacom","","","[]","","2020-10-20T00:15:20.765Z","https://viacom.com"
"27da944e-fc5a-4bfa-ad54-fb5652dc0c0f","Company","[]","2020-10-20T00:11:43.564Z","","[{""S"":""https://baxter.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Baxter International","","","[]","","2020-10-20T00:11:43.564Z","https://baxter.com"
"537a1840-1ade-4b84-9a08-f5e6641bb76a","Company","[]","2020-10-20T00:11:50.204Z","","[{""S"":""https://bjservices.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","BJ Services","","","[]","","2020-10-20T00:11:50.204Z","https://bjservices.com"
"980e26ac-08c5-4e45-b6e9-4ae52a8ccb3a","Company","[]","2020-10-20T00:15:09.635Z","","[{""S"":""https://trigon.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Trigon Healthcare","","","[]","","2020-10-20T00:15:09.635Z","https://trigon.com"
"f1083648-2949-48e0-afc0-33ff8bb630e7","Company","[]","2020-10-20T00:14:51.360Z","","[{""S"":""https://spherion.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Spherion","","","[]","","2020-10-20T00:14:51.360Z","https://spherion.com"
"1b81a07b-2263-4c24-a97c-90599dfa3fbd","Company","[]","2020-10-20T00:13:06.301Z","","[{""S"":""https://greyglobalgroup.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Grey Global","","","[]","","2020-10-20T00:13:06.301Z","https://greyglobalgroup.com"
"f2c7ce14-215f-4df5-a3ff-c4223f3ff224","Company","[]","2020-10-20T00:12:46.529Z","","[{""S"":""https://expeditors.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Expeditors Intl of Washington","","","[]","","2020-10-20T00:12:46.529Z","https://expeditors.com"
"b2bb89e6-392d-42c3-9ba2-47a8759afcba","Company","[]","2020-10-20T00:14:17.305Z","","[{""S"":""https://pepsiamericas.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","PepsiAmericas","","","[]","","2020-10-20T00:14:17.305Z","https://pepsiamericas.com"
"aecf5a97-f367-4fe7-921f-8f6d04809973","Company","[]","2020-10-20T00:13:34.185Z","","[{""S"":""https://lennoxinternational.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Lennox International","","","[]","","2020-10-20T00:13:34.185Z","https://lennoxinternational.com"
"947e24d6-0e59-4deb-94b5-802ad0431678","Company","[]","2020-10-20T00:12:22.840Z","","[{""S"":""https://coventryhealth.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Coventry Health Care","","","[]","","2020-10-20T00:12:22.840Z","https://coventryhealth.com"
"079e0f49-ec9d-40ba-b551-e7cf582e6a1c","Company","[]","2020-10-20T00:14:58.329Z","","[{""S"":""https://swifttrans.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Swift Transportation","","","[]","","2020-10-20T00:14:58.329Z","https://swifttrans.com"
"1c965929-01de-4997-ad35-0dea5940ceaa","Company","[]","2020-10-20T00:11:40.039Z","","[{""S"":""https://ball.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Ball","","","[]","","2020-10-20T00:11:40.039Z","https://ball.com"
"642e1322-709f-4c41-885d-36fd2b3c5654","Company","[]","2020-10-20T00:14:30.872Z","","[{""S"":""https://quintiles.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Quintiles Transnational","","","[]","","2020-10-20T00:14:30.872Z","https://quintiles.com"
"78468305-b3ba-4a82-9ce8-25f35d39b07e","Company","[]","2020-10-20T00:12:48.362Z","","[{""S"":""https://farmland.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Farmland Industries","","","[]","","2020-10-20T00:12:48.362Z","https://farmland.com"
"443ad09c-94b1-4992-b58f-e316fcc1f693","Company","[]","2020-10-20T00:15:11.515Z","","[{""S"":""https://ugicorp.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","UGI","","","[]","","2020-10-20T00:15:11.515Z","https://ugicorp.com"
"a357f7c0-d92e-4ee4-a60d-3d35cb417dde","Company","[]","2020-10-20T00:13:08.153Z","","[{""S"":""https://heinz.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","H.J. Heinz","","","[]","","2020-10-20T00:13:08.153Z","https://heinz.com"
"e9980e15-b451-4087-acdf-9ee4af6db49f","Company","[]","2020-10-20T00:13:46.880Z","","[{""S"":""https://mdu.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","MDU Resources Group","","","[]","","2020-10-20T00:13:46.880Z","https://mdu.com"
"a34994c6-c654-45be-b5ca-0a59f8ca8614","Company","[]","2020-10-19T23:48:09.833Z","","[{""S"":""https://utilicorp.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Aquila","","","[]","","2020-10-19T23:48:09.833Z","https://utilicorp.com"
"b5c2e4c9-533a-477c-b458-bcc05faed233","Company","[]","2020-10-19T23:48:03.476Z","","[{""S"":""https://amgen.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Amgen","","","[]","","2020-10-19T23:48:03.476Z","https://amgen.com"
"7d9b8f90-2c87-4d67-92b8-a0646390d4d8","Company","[]","2020-08-29T01:04:04.896Z","","","","","Amazon","f1e4c5b8-f95e-4282-a2e9-53fdd7b61688","","[]","VERY_LARGE","2020-08-29T01:04:04.896Z","https://amazon.com"
"c8044221-33df-43f9-bc1a-609af01d9815","Company","[]","2020-10-20T00:13:24.058Z","","[{""S"":""https://jcpenney.net""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","J.C. Penney","","","[]","","2020-10-20T00:13:24.058Z","https://jcpenney.net"
"56750a1e-3404-40f3-a764-e2bc2c85021b","Company","[]","2020-10-20T00:14:09.826Z","","[{""S"":""https://aul.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","OneAmerica Financial","","","[]","","2020-10-20T00:14:09.826Z","https://aul.com"
"4ccc2090-a96e-4a87-846f-91c9e92d03f9","Company","[]","2020-10-20T00:15:24.853Z","","[{""S"":""https://walterind.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Walter Industries","","","[]","","2020-10-20T00:15:24.853Z","https://walterind.com"
"412ad577-5ef9-4585-b748-5486cb74f004","Company","[]","2020-10-20T00:13:14.807Z","","[{""S"":""https://hilton.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Hilton Hotels","","","[]","","2020-10-20T00:13:14.807Z","https://hilton.com"
"a5eaf1be-01cb-4427-8998-b47b9087d79a","Company","[]","2020-10-20T00:13:29.023Z","","[{""S"":""https://keyspanenergy.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","KeySpan","","","[]","","2020-10-20T00:13:29.023Z","https://keyspanenergy.com"
"8ce60e50-8165-44e0-8086-a68df1135694","Company","[]","2020-10-20T00:15:10.376Z","","[{""S"":""https://truserv.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","TruServ","","","[]","","2020-10-20T00:15:10.376Z","https://truserv.com"
"01fe417c-6554-423a-9962-212719deffdb","Company","[]","2020-10-20T00:14:18.648Z","","[{""S"":""https://perotsystems.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Perot Systems","","","[]","","2020-10-20T00:14:18.648Z","https://perotsystems.com"
"915b1c04-cac7-41e8-a9bc-170cbef27bc3","Company","[]","2020-10-19T23:47:55.371Z","","[{""S"":""https://alltel.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Alltel","","","[]","","2020-10-19T23:47:55.371Z","https://alltel.com"
"3a18768b-5ed8-44c2-a3ed-97eedaa3335b","Company","[]","2020-10-20T00:14:42.860Z","","[{""S"":""https://sempra.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Sempra Energy","","","[]","","2020-10-20T00:14:42.860Z","https://sempra.com"
"5f520eab-ed07-48e0-a9ce-87176a94b744","Company","[]","2020-10-20T00:12:58.807Z","","[{""S"":""https://gemstartvguide.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Gemstar-TV Guide International","","","[]","","2020-10-20T00:12:58.807Z","https://gemstartvguide.com"
